NaN,NaN,4.77,NaN,NaN,NaN
NaN,NaN,3.321,NaN,NaN,NaN
NaN,NaN,4.756,NaN,NaN,NaN
NaN,NaN,4.258,NaN,NaN,NaN
NaN,5.277,4.43,NaN,NaN,NaN
7.056,4.101,0,NaN,NaN,NaN
NaN,NaN,9.857,2.33,NaN,NaN
NaN,NaN,4.674,NaN,NaN,NaN
NaN,NaN,NaN,9.69,NaN,NaN
NaN,NaN,NaN,7,6,4.9
NaN,NaN,NaN,8.78,NaN,NaN
NaN,NaN,NaN,9.25,NaN,NaN
NaN,6.791,3.981,NaN,NaN,NaN
NaN,NaN,NaN,10.63,NaN,NaN
NaN,NaN,NaN,11,NaN,NaN
NaN,NaN,NaN,11,NaN,NaN
NaN,NaN,NaN,11,NaN,NaN
NaN,NaN,NaN,11,NaN,NaN
NaN,NaN,NaN,11,NaN,NaN
NaN,NaN,NaN,11,NaN,NaN
NaN,NaN,NaN,11,NaN,NaN
NaN,NaN,NaN,7.96,NaN,NaN
NaN,NaN,NaN,11,NaN,NaN
NaN,NaN,NaN,14,NaN,NaN
NaN,NaN,NaN,4.596,NaN,NaN
NaN,NaN,12.48,8.919,1.78,NaN
NaN,6.94,2.19,NaN,NaN,NaN
NaN,10.5,4.25,NaN,NaN,NaN
NaN,NaN,9.03,2.12,NaN,NaN
NaN,10,3.9,2.28,NaN,NaN
NaN,NaN,3.485,NaN,NaN,NaN
NaN,5.333,4.55,NaN,NaN,NaN
NaN,NaN,10.241,3.43,NaN,NaN
NaN,NaN,NaN,9.5,NaN,NaN
NaN,NaN,NaN,13.7,13.2,NaN
NaN,NaN,-2,NaN,NaN,NaN
NaN,NaN,4.203,NaN,NaN,NaN
NaN,NaN,NaN,9.33,NaN,NaN
NaN,NaN,4.855,NaN,NaN,NaN
NaN,NaN,NaN,9.48,NaN,NaN
NaN,NaN,NaN,4.2,3.2,NaN
NaN,NaN,NaN,6.4,NaN,NaN
NaN,NaN,-2,NaN,NaN,NaN
NaN,NaN,2.901,NaN,NaN,NaN
NaN,NaN,NaN,8.19,NaN,NaN
NaN,NaN,NaN,10.59,NaN,NaN
NaN,NaN,NaN,11,NaN,NaN
NaN,NaN,NaN,11,NaN,NaN
NaN,NaN,NaN,11,NaN,NaN
NaN,NaN,NaN,11,NaN,NaN
NaN,NaN,NaN,11,NaN,NaN
NaN,NaN,NaN,11,NaN,NaN
NaN,NaN,NaN,14,NaN,NaN
NaN,NaN,NaN,14,NaN,NaN
NaN,NaN,4.82,NaN,NaN,NaN
NaN,NaN,6.184,NaN,NaN,NaN
NaN,NaN,NaN,8.6,7.6,NaN
NaN,NaN,NaN,13.6,12.6,NaN
NaN,NaN,5,NaN,NaN,NaN
NaN,NaN,4.857,NaN,NaN,NaN
NaN,NaN,4.894,NaN,NaN,NaN
NaN,10.329,6.352,NaN,NaN,NaN
7.349,4.782,0,NaN,NaN,NaN
NaN,NaN,NaN,8,7,6
NaN,NaN,NaN,13,NaN,NaN
NaN,NaN,9.55,NaN,NaN,NaN
NaN,NaN,-2.7,NaN,NaN,NaN
NaN,NaN,2.865,NaN,NaN,NaN
NaN,NaN,1,NaN,NaN,NaN
NaN,NaN,1,NaN,NaN,NaN
NaN,NaN,1.96,NaN,NaN,NaN
NaN,6.49,0.745,NaN,NaN,NaN
NaN,NaN,NaN,6.5,5.5,3.95
NaN,NaN,NaN,8.5,NaN,NaN
NaN,NaN,4.438,NaN,NaN,NaN
NaN,NaN,3.879,NaN,NaN,NaN
NaN,6.146,2.458,NaN,NaN,NaN
6.396,4.761,3.128,NaN,NaN,NaN
NaN,6.705,4.468,NaN,NaN,NaN
NaN,NaN,NaN,12.2,11.2,NaN
NaN,NaN,NaN,8.69,NaN,NaN
NaN,NaN,NaN,8.5,7.3,NaN
NaN,NaN,NaN,4.828,NaN,NaN
NaN,NaN,7.377,NaN,NaN,NaN
NaN,NaN,4.705,NaN,NaN,NaN
NaN,NaN,3.47,NaN,NaN,NaN
NaN,NaN,2.469,NaN,NaN,NaN
NaN,5.879,3.127,NaN,NaN,NaN
NaN,4.11,3.451,NaN,NaN,NaN
NaN,NaN,NaN,10.66,NaN,NaN
NaN,4.08,3.23,NaN,NaN,NaN
NaN,10.28,8.6,1.94,NaN,NaN
NaN,9.845,8.405,2.26,1.65,NaN
